source_kind,announcement_id,publish_date,effective_date,title,detail_url,attachment_name,attachment_url,local_path,status,usable_for_l3,addition_rows,control_rows,candidate_rows,reason
official_rebalance_result_notice,11514,2020-11-27,,关于调整沪深300和中证香港100等指数样本的公告,https://www.csindex.com.cn/zh-CN/about/newsDetail?id=11514,,,,detail_fetched,False,0,0,0,Notice metadata is provenance; the attachment must contain adjustment and reserve lists.
official_adjustment_backup_attachment,11514,2020-11-27,2020-12-11,关于调整沪深300和中证香港100等指数样本的公告,https://www.csindex.com.cn/zh-CN/about/newsDetail?id=11514,www.csindex.com.cn,http://www.csindex.com.cn,,skipped,False,0,0,0,Attachment is not a supported adjustment/result list.
official_adjustment_backup_attachment,11514,2020-11-27,2020-12-11,关于调整沪深300和中证香港100等指数样本的公告,https://www.csindex.com.cn/zh-CN/about/newsDetail?id=11514,1617182729617116.xlsx,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/info/files/20210331/1617182729617116.xlsx,results/literature/hs300_rdd_l3_collection/official_attachments/2020-11-27_11514_1617182729617116.xlsx.xlsx,parsed,True,26,15,41,Official adjustment and reserve lists parsed for HS300.
official_rebalance_result_notice,12470,2021-05-28,,关于调整沪深300和中证香港100等指数样本的公告,https://www.csindex.com.cn/zh-CN/about/newsDetail?id=12470,,,,detail_fetched,False,0,0,0,Notice metadata is provenance; the attachment must contain adjustment and reserve lists.
official_adjustment_backup_attachment,12470,2021-05-28,2021-06-11,关于调整沪深300和中证香港100等指数样本的公告,https://www.csindex.com.cn/zh-CN/about/newsDetail?id=12470,www.csindex.com.cn,http://www.csindex.com.cn,,skipped,False,0,0,0,Attachment is not a supported adjustment/result list.
official_adjustment_backup_attachment,12470,2021-05-28,2021-06-11,关于调整沪深300和中证香港100等指数样本的公告,https://www.csindex.com.cn/zh-CN/about/newsDetail?id=12470,1623319091660435.xlsx,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/info/files/20210610/1623319091660435.xlsx,results/literature/hs300_rdd_l3_collection/official_attachments/2021-05-28_12470_1623319091660435.xlsx.xlsx,parsed,True,25,15,40,Official adjustment and reserve lists parsed for HS300.
official_adjustment_backup_attachment,12470,2021-05-28,2021-06-11,关于调整沪深300和中证香港100等指数样本的公告,https://www.csindex.com.cn/zh-CN/about/newsDetail?id=12470,1622509386248149.xlsx,https://oss-ch.csindex.com.cn/static/html/csindex/public/uploads/indices/info/files/20210601/1622509386248149.xlsx,results/literature/hs300_rdd_l3_collection/official_attachments/2021-05-28_12470_1622509386248149.xlsx.xlsx,parsed,True,25,15,40,Official adjustment and reserve lists parsed for HS300.
official_rebalance_result_notice,13888,2021-11-26,,关于调整沪深300和中证香港100等指数样本的公告,https://www.csindex.com.cn/zh-CN/about/newsDetail?id=13888,,,,detail_fetched,False,0,0,0,Notice metadata is provenance; the attachment must contain adjustment and reserve lists.
official_adjustment_backup_attachment,13888,2021-11-26,2021-12-10,关于调整沪深300和中证香港100等指数样本的公告,https://www.csindex.com.cn/zh-CN/about/newsDetail?id=13888,中证指数调入调出名单.xlsx,https://oss-ch.csindex.com.cn/notice/20211130195824-中证指数调入调出名单.xlsx,results/literature/hs300_rdd_l3_collection/official_attachments/2021-11-26_13888_%E4%B8%AD%E8%AF%81%E6%8C%87%E6%95%B0%E8%B0%83%E5%85%A5%E8%B0%83%E5%87%BA%E5%90%8.xlsx,parsed,True,28,15,43,Official adjustment and reserve lists parsed for HS300.
official_rebalance_result_notice,14223,2022-05-27,,关于沪深300和中证香港100等指数定期调整结果的公告,https://www.csindex.com.cn/zh-CN/about/newsDetail?id=14223,,,,detail_fetched,False,0,0,0,Notice metadata is provenance; the attachment must contain adjustment and reserve lists.
official_adjustment_backup_attachment,14223,2022-05-27,2022-06-10,关于沪深300和中证香港100等指数定期调整结果的公告,https://www.csindex.com.cn/zh-CN/about/newsDetail?id=14223,指数样本调整名单.xlsx,https://oss-ch.csindex.com.cn/notice%2F20220527185038-%E6%8C%87%E6%95%B0%E6%A0%B7%E6%9C%AC%E8%B0%83%E6%95%B4%E5%90%8D%E5%8D%95.xlsx,results/literature/hs300_rdd_l3_collection/official_attachments/2022-05-27_14223_%E6%8C%87%E6%95%B0%E6%A0%B7%E6%9C%AC%E8%B0%83%E6%95%B4%E5%90%8D%E5%8D%95.xlsx.xlsx,parsed,True,28,15,43,Official adjustment and reserve lists parsed for HS300.
official_rebalance_result_notice,14497,2022-11-25,,关于沪深300和中证香港100等指数定期调整结果的公告,https://www.csindex.com.cn/zh-CN/about/newsDetail?id=14497,,,,detail_fetched,False,0,0,0,Notice metadata is provenance; the attachment must contain adjustment and reserve lists.
official_adjustment_backup_attachment,14497,2022-11-25,2022-12-09,关于沪深300和中证香港100等指数定期调整结果的公告,https://www.csindex.com.cn/zh-CN/about/newsDetail?id=14497,指数样本调整名单.xlsx,https://oss-ch.csindex.com.cn/notice%2F20221207152016-%E6%8C%87%E6%95%B0%E6%A0%B7%E6%9C%AC%E8%B0%83%E6%95%B4%E5%90%8D%E5%8D%95.xlsx,results/literature/hs300_rdd_l3_collection/official_attachments/2022-11-25_14497_%E6%8C%87%E6%95%B0%E6%A0%B7%E6%9C%AC%E8%B0%83%E6%95%B4%E5%90%8D%E5%8D%95.xlsx.xlsx,parsed,True,15,15,30,Official adjustment and reserve lists parsed for HS300.
official_rebalance_result_notice,14503,2022-11-25,,中证指数公司公布沪深300等指数样本定期调整方案,https://www.csindex.com.cn/zh-CN/about/newsDetail?id=14503,,,,detail_fetched,False,0,0,0,Notice metadata is provenance; the attachment must contain adjustment and reserve lists.
