market,event_phase,inclusion,metric,treated_post_minus_pre,control_post_minus_pre,did_estimate,n_treated,n_control
CN,announce,0,abnormal_return,-0.0027084149709099116,-0.0006918053464673025,-0.002016609624442609,121,117
CN,announce,0,turnover,-0.0007472756402458826,-2.2342947820995313e-07,-0.0007470522107676726,121,117
CN,announce,0,log_volume,-0.028754730829767372,0.025282102284833696,-0.05403683311460107,121,117
CN,announce,1,abnormal_return,0.004291952365943389,0.0007200606413777041,0.003571891724565685,118,117
CN,announce,1,turnover,0.00027629986711867426,-0.0005034551669995586,0.0007797550341182328,118,117
CN,announce,1,log_volume,0.049094708472732264,-0.11523427413899173,0.164328982611724,118,117
CN,effective,0,abnormal_return,-0.00013799197470157253,0.0019857836123131564,-0.002123775587014729,121,117
CN,effective,0,turnover,0.002483012046738123,7.56889218872368e-05,0.0024073231248508864,121,117
CN,effective,0,log_volume,0.0254955661747733,0.035139179203917265,-0.009643613029143964,121,117
CN,effective,1,abnormal_return,-0.00398898315447199,0.0010564195951830375,-0.005045402749655027,118,117
CN,effective,1,turnover,0.0009678401259377177,-0.00014473257956251482,0.0011125727055002325,118,117
CN,effective,1,log_volume,0.03481242864415762,-0.027962785053584686,0.0627752136977423,118,117
