spec_id,reference_date_column,control_ratio,is_default,market,covariate,treated_mean,control_mean,treated_std,control_std,pooled_std,smd,balanced,n_treated,n_control
announce_1to1,announce_date,1,False,CN,mkt_cap_log,24.639567939843747,24.70615211407482,0.7768241203200308,0.5995498218596904,0.6938716389949139,-0.09596036282376309,True,234,234
announce_1to1,announce_date,1,False,CN,pre_event_return,0.04485347289002542,0.023615589431889662,0.13355444432919938,0.07455783702304107,0.10815650849957105,0.1963625097810918,True,234,234
announce_1to1,announce_date,1,False,CN,pre_event_volatility,0.02465488480266044,0.02266878749207893,0.01111235666557945,0.008766375775003103,0.010008341892931349,0.1984441910387018,True,234,234
announce_1to1,announce_date,1,False,US,mkt_cap_log,23.145846118847363,23.108345778752557,1.0896060479443963,0.8033686128497304,0.9572466943868508,0.039175209812372914,True,340,340
announce_1to1,announce_date,1,False,US,pre_event_return,0.023712339792723296,0.015943080495291927,0.12224768150844541,0.12157837834871002,0.12191348923743506,0.06372764282302011,True,340,340
announce_1to1,announce_date,1,False,US,pre_event_volatility,0.02345144042789362,0.023537268400447765,0.01864929875365774,0.013131439923557392,0.016128097508218028,-0.00532164271144886,True,340,340
announce_1to2,announce_date,2,False,CN,mkt_cap_log,24.639567939843747,24.74465594560505,0.7768241203200308,0.5438041277549889,0.6705142218008332,-0.15672748219875604,True,234,468
announce_1to2,announce_date,2,False,CN,pre_event_return,0.04485347289002542,0.02791346474279352,0.13355444432919938,0.07688865942138332,0.1089693891597514,0.1554565761802839,True,234,468
announce_1to2,announce_date,2,False,CN,pre_event_volatility,0.02465488480266044,0.023443665156894736,0.01111235666557945,0.008264028668873645,0.00979230923998557,0.12369091049737815,True,234,468
announce_1to2,announce_date,2,False,US,mkt_cap_log,23.145846118847363,23.125481769228557,1.0896060479443963,0.7469331294097363,0.9341173479619218,0.02180063314661389,True,340,680
announce_1to2,announce_date,2,False,US,pre_event_return,0.023712339792723296,0.009217882829678416,0.12224768150844541,0.11142374809508836,0.11696099194549439,0.12392556460020036,True,340,680
announce_1to2,announce_date,2,False,US,pre_event_volatility,0.02345144042789362,0.022830741758439115,0.01864929875365774,0.013232388871111077,0.01616929898355962,0.03838748173842353,True,340,680
announce_1to3,announce_date,3,True,CN,mkt_cap_log,24.639567939843747,24.755910064016987,0.7768241203200308,0.5119962011506596,0.6578737811707107,-0.1768456617410789,True,234,702
announce_1to3,announce_date,3,True,CN,pre_event_return,0.04485347289002542,0.02719271732687547,0.13355444432919938,0.07766415892323644,0.10924401855784815,0.16166336423991967,True,234,702
announce_1to3,announce_date,3,True,CN,pre_event_volatility,0.02465488480266044,0.023095467197164925,0.01111235666557945,0.00833676248007824,0.009823087073631392,0.15875025781676502,True,234,702
announce_1to3,announce_date,3,True,US,mkt_cap_log,23.145846118847363,23.140738481258985,1.0896060479443963,0.7116225593840072,0.9202304077624394,0.005550389929840217,True,340,1020
announce_1to3,announce_date,3,True,US,pre_event_return,0.023712339792723296,0.008178482918342868,0.12224768150844541,0.10577894912724049,0.11431028324838854,0.13589203379565076,True,340,1020
announce_1to3,announce_date,3,True,US,pre_event_volatility,0.02345144042789362,0.022029450394248886,0.01864929875365774,0.012607053686502891,0.015917508389467653,0.08933496366715542,True,340,1020
effective_1to1,effective_date,1,False,CN,mkt_cap_log,24.66750674327569,24.719177241556878,0.7848702072880083,0.6197638410000114,0.7071521975145834,-0.07306842637665854,True,234,234
effective_1to1,effective_date,1,False,CN,pre_event_return,0.022754941484029536,0.0012662350641263877,0.10868690659582084,0.08505906382726872,0.09759069628950308,0.22019216213148882,True,234,234
effective_1to1,effective_date,1,False,CN,pre_event_volatility,0.021734973104580474,0.018349059157621604,0.008987474056337168,0.006920603068753265,0.008020892617052381,0.4221368005551442,False,234,234
effective_1to1,effective_date,1,False,US,mkt_cap_log,23.15136237943021,23.105368002832837,1.1087747790528257,0.8051987311613205,0.9689495619812837,0.04746828772317715,True,340,340
effective_1to1,effective_date,1,False,US,pre_event_return,0.027806642958159766,0.013613257187036324,0.12857330325940794,0.1075570845188872,0.1185318960053342,0.11974317672674963,True,340,340
effective_1to1,effective_date,1,False,US,pre_event_volatility,0.02439730339455964,0.022856789017490615,0.018086992282655482,0.01243843299762987,0.015521821820736227,0.09924829667938785,True,340,340
effective_1to2,effective_date,2,False,CN,mkt_cap_log,24.66750674327569,24.756366220757446,0.7848702072880083,0.5625378748607208,0.6828140680086846,-0.13013715101227913,True,234,468
effective_1to2,effective_date,2,False,CN,pre_event_return,0.022754941484029536,0.004497371375595051,0.10868690659582084,0.07988845416322618,0.09538083867831781,0.19141758828531705,True,234,468
effective_1to2,effective_date,2,False,CN,pre_event_volatility,0.021734973104580474,0.019577128698524484,0.008987474056337168,0.006459452039348182,0.007826212703535888,0.27572013281482555,False,234,468
effective_1to2,effective_date,2,False,US,mkt_cap_log,23.15136237943021,23.125649529522278,1.1087747790528257,0.7485963383358419,0.9459857262225135,0.02718101256200639,True,340,680
effective_1to2,effective_date,2,False,US,pre_event_return,0.027806642958159766,0.01227207869243415,0.12857330325940794,0.10891312288768444,0.11914940756920181,0.13037886282987318,True,340,680
effective_1to2,effective_date,2,False,US,pre_event_volatility,0.02439730339455964,0.022316232175314994,0.018086992282655482,0.012939775528749664,0.015725410655484766,0.13233811598546735,True,340,680
effective_1to3,effective_date,3,False,CN,mkt_cap_log,24.66750674327569,24.769304485396244,0.7848702072880083,0.5291308976810165,0.6693283010485361,-0.15208940360221088,True,234,702
effective_1to3,effective_date,3,False,CN,pre_event_return,0.022754941484029536,0.005050896963750874,0.10868690659582084,0.07687748213807685,0.09413551647826396,0.18806976561674843,True,234,702
effective_1to3,effective_date,3,False,CN,pre_event_volatility,0.021734973104580474,0.019662095739268793,0.008987474056337168,0.006367208686088778,0.0077883257624966505,0.2661518570901678,False,234,702
effective_1to3,effective_date,3,False,US,mkt_cap_log,23.15136237943021,23.140218916176803,1.1087747790528257,0.7134715925595727,0.9323151892072593,0.01195246348274446,True,340,1020
effective_1to3,effective_date,3,False,US,pre_event_return,0.027806642958159766,0.010046183131233824,0.12857330325940794,0.10396867259945486,0.11692001366987671,0.151902649251073,True,340,1020
effective_1to3,effective_date,3,False,US,pre_event_volatility,0.02439730339455964,0.021513181564227987,0.018086992282655482,0.012375543421283278,0.015496666815881839,0.1861123985304922,True,340,1020
