market,event_phase,car_mean,n_events,car_se,car_t,window_end_year,window_start_year
US,announce,0.009987724269039015,82,0.0033355134376958787,2.994358876256958,2014,2010
US,effective,0.000430207007412389,82,0.003323712948777898,0.1294356684955518,2014,2010
US,announce,0.009889796769113956,99,0.003085417110959278,3.2053354257956874,2015,2011
US,effective,0.0018764401125628961,99,0.003150687893625164,0.5955652149359277,2015,2011
US,announce,0.009152992686515897,111,0.0027117600511033023,3.3752959384411336,2016,2012
US,effective,-0.0013784638140006606,112,0.0025828831759264546,-0.5336918939456947,2016,2012
US,announce,0.00940800197535903,121,0.0028229457394744364,3.3326896241054107,2017,2013
US,effective,-0.002030446380200665,121,0.002593543252047576,-0.7828851046141792,2017,2013
US,announce,0.004692604556273699,126,0.002982774115996016,1.5732349731440298,2018,2014
US,effective,-0.0036996466450909256,125,0.0023903715647265967,-1.5477286877423508,2018,2014
US,announce,0.0026314038043105895,133,0.0031326064504559425,0.8400045923188327,2019,2015
US,effective,-0.0019345869423900654,133,0.002723450570184247,-0.7103440626275757,2019,2015
US,announce,0.0027470499930142022,122,0.003617686606589313,0.7593388515220421,2020,2016
US,effective,-0.004280932257305977,122,0.003590635373923319,-1.1922492293135305,2020,2016
CN,announce,0.010884596164118063,49,0.006327088213247586,1.7203168024950273,2021,2017
CN,effective,0.005860370370927227,49,0.005988988190247699,0.978524282360431,2021,2017
US,announce,0.006610549909172215,111,0.004812997132331506,1.3734788796705433,2021,2017
US,effective,-0.003183948423222445,111,0.004093169238640296,-0.777868746096635,2021,2017
CN,announce,0.012234734942559474,77,0.004455622315679725,2.745909342339087,2022,2018
CN,effective,0.005504366429009121,77,0.005374283073400149,1.0242047830068377,2022,2018
US,announce,0.009685276455196125,100,0.005678292355985543,1.7056670998961125,2022,2018
US,effective,0.002921942541461452,100,0.004976126369956286,0.587192190114561,2022,2018
CN,announce,0.013842498784267028,91,0.004119848431356505,3.3599534096717325,2023,2019
CN,effective,0.008464091213499678,91,0.005113838602715091,1.6551346006512284,2023,2019
US,announce,0.018789100562980113,91,0.006032759366417601,3.1145118546535926,2023,2019
US,effective,0.003265776561408655,92,0.005342040057437644,0.6113350941391318,2023,2019
CN,announce,0.015767726999454206,108,0.0037035330914338568,4.25748241211194,2024,2020
CN,effective,0.003596517945617794,108,0.004776133904416604,0.7530186585204424,2024,2020
US,announce,0.029165615518458726,84,0.007547239256322521,3.8644084979849977,2024,2020
US,effective,-0.001130142538347121,84,0.0062123126457419115,-0.18191977815568433,2024,2020
CN,announce,0.017470107040446554,118,0.003545593317447425,4.92727323082383,2025,2021
CN,effective,0.004162042053539396,118,0.004482489106379571,0.9285113593730528,2025,2021
US,announce,0.03861102693928814,85,0.007906354087972538,4.883543857215398,2025,2021
US,effective,0.0005055661841891326,86,0.005527678287282999,0.0914608553381698,2025,2021
