market,event_phase,inclusion,window,window_slug,n_events,patell_z,patell_p,bmp_t,bmp_p,mean_scar,std_scar
CN,announce,0,"[-1,+1]",m1_p1,98,-3.4497994805789,0.0005610030888194977,-4.602617632240996,1.2642239732010624e-05,-0.34848237235016705,0.7495298884733134
CN,announce,1,"[-1,+1]",m1_p1,96,7.123904524797002,1.0491173027814899e-12,5.622515629063088,1.8831517987788013e-07,0.7270804609190386,1.2670315201923412
CN,effective,0,"[-1,+1]",m1_p1,98,-0.9196067049741465,0.3577783216158775,-0.6094347573264265,0.5436611755670112,-0.09289430530169084,1.5089502098771588
CN,effective,1,"[-1,+1]",m1_p1,96,0.47648374609708843,0.6337297843362748,0.358255840187666,0.7209467061223025,0.04863091869448843,1.3300097099533421
US,announce,0,"[-1,+1]",m1_p1,114,1.2850816876405227,0.19876374004112574,1.039056473585481,0.30099667661789775,0.12035892753675718,1.2367775191333732
US,announce,1,"[-1,+1]",m1_p1,246,10.297794201108642,7.209547331847518e-25,3.4109604559808457,0.000757020002172113,0.6565633778545554,3.019030661306051
US,effective,0,"[-1,+1]",m1_p1,116,-5.699297747864175,1.2030195356708709e-08,-1.058573847029109,0.29201234266220805,-0.5291665113306739,5.3839396881561665
US,effective,1,"[-1,+1]",m1_p1,252,-3.8049182407987825,0.00014185103764229956,-1.0212394895766617,0.30812427144293186,-0.23968731962111797,3.725784480167379
CN,announce,0,"[-3,+3]",m3_p3,98,-2.835782648952967,0.004571354476513934,-3.476911215016901,0.0007606510854358533,-0.28645730586368484,0.8156039868677472
CN,announce,1,"[-3,+3]",m3_p3,96,3.6097842367463295,0.0003064518067353252,3.3582598302895175,0.0011298158423246477,0.36842206089877233,1.0748972441584805
CN,effective,0,"[-3,+3]",m3_p3,98,0.6305306779859828,0.5283474377423453,0.3995196351263806,0.6903886852568759,0.06369321687857711,1.5782220009950851
CN,effective,1,"[-3,+3]",m3_p3,96,-2.147361172589828,0.031764539244709455,-2.0708307391271865,0.041086764933389155,-0.21916413192956838,1.036956392435481
US,announce,0,"[-3,+3]",m3_p3,114,-0.35291283525411854,0.7241537880552381,-0.33057708035645,0.7415761101292881,-0.033053315422407525,1.0675659512558604
US,announce,1,"[-3,+3]",m3_p3,246,5.883311605952756,4.021377862660889e-09,2.099113378668493,0.036830498068697204,0.3751062475650749,2.8027602823839137
US,effective,0,"[-3,+3]",m3_p3,116,0.011221953126587057,0.9910463647838483,0.00545318964412372,0.995658454217905,0.001041932190424304,2.0578695880638724
US,effective,1,"[-3,+3]",m3_p3,252,-1.4235006624437256,0.15459107021515894,-0.8623442940961302,0.38932123117745315,-0.08967211295147144,1.6507335552510078
CN,announce,0,"[-5,+5]",m5_p5,98,-2.349843694393141,0.018781296016033937,-2.3596267304717613,0.020296637399551058,-0.23737005871911993,0.9958539899754975
CN,announce,1,"[-5,+5]",m5_p5,96,6.007074511505427,1.8890071753406018e-09,4.916811821242953,3.6753119598519513e-06,0.6130944750027838,1.2217417973069504
CN,effective,0,"[-5,+5]",m5_p5,98,0.5854950237370568,0.5582149116648687,0.44995564974722796,0.6537463773353892,0.05914392880506449,1.301228296757627
CN,effective,1,"[-5,+5]",m5_p5,96,0.37832912877071967,0.7051861090876655,0.3485378048160722,0.7282075539641781,0.038613055013332245,1.085475158054572
US,announce,0,"[-5,+5]",m5_p5,114,-0.10616439021119677,0.9154519237283419,-0.10317538166961934,0.918006662070531,-0.009943206156702937,1.0289701718879858
US,announce,1,"[-5,+5]",m5_p5,246,2.3961136146365822,0.016569953279586245,1.6887070504261361,0.09254787520163328,0.15277062425463067,1.4189042522395676
US,effective,0,"[-5,+5]",m5_p5,116,-1.408930253049329,0.1588557928667842,-0.5951848218431227,0.5528893341466948,-0.13081588990393722,2.3672146891889185
US,effective,1,"[-5,+5]",m5_p5,252,-3.153723649871321,0.0016120165611181946,-1.6789909580177496,0.09439819939765232,-0.19866591622339178,1.8783446300358109
